# generate_3phase_trajectory.py output
# source: neso_trajectory.csv
"# cli   : generate_3phase_trajectory.py neso_trajectory.csv --thd-var 1.5,2.5,3.5 --mag-var 1,1,1 --out-prefix neso_3phase_thd_varied"
"# Va_thd_pct=1.5000, Vb_thd_pct=2.5000, Vc_thd_pct=3.5000"
"# Va_amp_frac=1.000000, Vb_amp_frac=1.000000, Vc_amp_frac=1.000000"
replay_index,f_target_hz,Va_amp_frac,Vb_amp_frac,Vc_amp_frac,Va_thd_pct,Vb_thd_pct,Vc_thd_pct
206,49.601000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
207,49.617000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
208,49.632000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
209,49.643000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
210,49.651000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
211,49.658000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
212,49.661000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
213,49.663000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
214,49.664000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
215,49.666000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
216,49.667000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
217,49.668000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
218,49.669000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
219,49.670000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
220,49.669000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
221,49.670000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
222,49.672000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
223,49.676000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
224,49.679000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
225,49.684000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
226,49.689000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
227,49.696000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
228,49.704000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
229,49.709000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
230,49.712000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
231,49.712000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
232,49.710000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
233,49.709000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
234,49.710000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
235,49.708000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
236,49.710000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
237,49.712000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
238,49.712000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
239,49.718000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
240,49.724000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
241,49.727000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
242,49.729000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
243,49.731000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
244,49.733000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
245,49.734000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
246,49.733000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
247,49.729000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
248,49.726000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
249,49.724000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
250,49.723000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
251,49.725000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
252,49.729000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
253,49.734000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
254,49.740000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
255,49.743000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
256,49.748000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
257,49.763000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
258,49.763000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
259,49.760000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
260,49.763000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
261,49.760000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
262,49.758000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
263,49.758000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
264,49.759000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
265,49.760000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
266,49.764000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
267,49.771000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
268,49.776000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
269,49.782000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
270,49.791000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
271,49.798000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
272,49.809000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
273,49.817000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
274,49.824000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
275,49.828000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
276,49.832000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
277,49.836000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
278,49.842000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
279,49.847000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
280,49.852000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
281,49.860000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
282,49.863000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
283,49.875000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
284,49.885000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
285,49.895000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
286,49.902000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
287,49.911000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
288,49.920000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
289,49.929000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
290,49.937000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
291,49.945000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
292,49.952000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
293,49.955000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
294,49.956000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
295,49.957000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
296,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
297,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
298,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
299,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
300,49.961000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
301,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
302,49.958000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
303,49.958000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
304,49.957000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
